otu	Domain	Phylum	Class	Order	Family	Genus	Species
06d09c85403e1b088723ab6b14079a87	Fungi	Ascomycota	Dothideomycetes	Hysteriales			
ed0332e2dee5b506bd4f29eb9859aa0b	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius umbrinobellus
b5c06daa0dc956d4135d7864dbe22293	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	Peziza ostracoderma
1a1d723c33bc91ceae01bf627cb84f98	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	Mycena abramsii
8d717f501c5c78238d12a405e60aaf8a	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	
6005b30e4d2663e9f8a8d12163a1a0fb	Fungi	Ascomycota					
1b3753029acde9bf8c79555f4589fcb0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales fam Incertae sedis		
44677424f75b2ee8c20a4ab08a735218	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Geopora	Geopora cervina
551cecf5370c297248d4b81448c59066	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Trichocladium	Trichocladium opacum
80a0071a2434d70ebd97065a92b946dc	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae		
e7b3ab4a1418b930dff98b196fdcf61e	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	Mycena leptophylla
d8c20d56b7cc5973a98e3a970f177278	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Peziza	Peziza lohjaoensis
27416cf68f786c34cfd9c3ea4b390257	Fungi	Ascomycota	Dothideomycetes				
6ea524e84a2a740ca7e1845faf7dcc5a							
903698ef0bd05447eeb24f0bd90a2c57	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	Hebeloma mesophaeum
7eec22fd68737537a09bb9a74b37d395	Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum	
fa7ecfbaddb115f6426d55121a721dbf	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Inocybaceae	Inocybe	Inocybe lanatodisca
54abfe2f96e3da70678e04f7c4440043	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella lilacinogrisea
18afe7284dfd02da69cb893acc4427f2	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
3fbf29737de0a6cd385b3724e9ee0535	Fungi	Ascomycota	Dothideomycetes	Mytilinidales	Gloniaceae	Cenococcum	Cenococcum geophilum
6247015b4ba104c46486857f55f4efc0							
7e386298ea1963e73f4baeb3458d6c1f	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Hemimycena	
927c2d90d156c0c2b6334a7bb28f2695	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae		
9accbe40a3a7e22d7c5105dcd9ff2e13	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis atramentaria
f9787e702492c27b0e0a8be6afa80b1b	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	Lactarius torminosus
e66fffba9dbe8183227a33617fbada4b	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Amanitaceae	Amanita	
e0e9ebe5ec9e6a8136c1636e389fb2e9	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Trichomeriaceae	Knufia	Knufia peltigerae
2a9cd34dc3abe3ff2a66d38433a54725	Fungi	Ascomycota	Pezizomycetes	Pezizales	Helvellaceae	Helvella	
0d9bba00eb833426285925d8631ac648	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	Sebacina incrustans
e11bf2b60df0b4b929da8008d87a0ab0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Pochonia	
302334cd563bf5c4f2f1e9c2c2b3bc5c	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Exophiala	
47bc6faec04e6cd778ddfb8d8d859d7c	Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	Phialocephala fortinii
4f9124178b9ad19ea6bfe2b106be85cd	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	Mycena abramsii
1e04205c2e1f83e75a9c6bf6c7a4e4b9	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
c6fd5c8e161d60660b318e472a7c21d2	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hymenogaster	
6c8c0f7fb768260ebcaf8d13e9b61436	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Hydropus	Hydropus trichoderma
6205931d9863d67619ede0f7159153e0	Fungi	Ascomycota	Dothideomycetes	Minutisphaerales	Minutisphaeraceae	Minutisphaera	
0a97ad23c934f5f96bdc4968391eb7d3	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Eutypa	Eutypa lata
566019032dfec04e58d6402d8e184595	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
2eeb95a28547593c66cf3663d305101c	Fungi	Basidiomycota	Agaricomycetes	Geastrales	Geastraceae	Geastrum	Geastrum fuscogleba
a630fd8af672fc62d930685be5e7aa7a	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	
be85a7102eb4a91f9a2e0f17f1e14432	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora chaetospira
3a40e505e1e06a5c6970b0e30c5578b3	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae		
6638113c9310166ea21799d03626e1f2	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	
99e47fef2af03a5e091c1e1113eed98d	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum pygmaeum
c039ec58470840a3cb92c9f270a4b21b	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Hemimycena	
ab95e89649fc4a952095092d61e060e0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Lachnum	Lachnum pygmaeum
52bea90a27dbd2ecc60f0093650a59ea	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Lactarius	
f762ac9f3014f3be1b5542bc2df9b9ff	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Hemimycena	Hemimycena gracilis
50c184584e7f2635d1045bdebf03ed51	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Cudoniella	
9309242a0e358252970fe9e1370d682d	Fungi	Ascomycota	Dothideomycetes				
ead9bac6e73a0274f3ace608825c8071	Fungi	Basidiomycota	Agaricomycetes				
a659add5f9ae89bb7ebdb4604fda9678	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Bolbitiaceae	Panaeolus	
3917bd0718e9b613dfc1484fe56d60c5	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	
81fdc0e6ea45972262bd141fd8d6bc07	Fungi	Ascomycota					
8744760cad051233e0357c720d40f35c	Fungi	Ascomycota	Sordariomycetes	Sordariales	Lasiosphaeriaceae	Jugulospora	
b358e344bdd68245f42c27c9e26faacf	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	
ceb88784b5e972db3f680f28eb1efaa6	Fungi	Ascomycota	Pezizomycetes	Pezizales	Helvellaceae	Helvella	
5e240dff1d2ac20900f8889f7bedc576	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius diasemospermus
c21eebae705b671a4decf072cbe9b10b	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	
543cb97536977aedf0a826ba2723b845	Fungi	Ascomycota					
a0f79faea1b13dcd0ac54af98a98b211	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	
5f04487252e405acc2333603aa278f50	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula integriformis
2f70dd2d91f04e1bf835515f9187a54c	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Alatospora	
b8a66d053c92ffab3219a4d734300a35	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Genabea	Genabea fragilis
8d31b0a572415cc95edeb4eae011dfe7	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
7f8bb85a91ac645831b7dc513361efdb	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	Tuber anniae
5c13f30e1eeccd7757ee8897323e62bf	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae		
87a098bf3fadc8692bcdca126ce7f73b	Fungi	Basidiomycota	Agaricomycetes	Boletales	Melanogastraceae	Melanogaster	
9815361b867d112955a7a500555aa696	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Tricharina	
7ccb2582a6014fb40683b01f628204f4	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella bryophila
b8c0fadeb23b664d3477d613585afda0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales fam Incertae sedis	Cadophora	Cadophora melinii
a91ffea45883dfe2b59237bce126c543	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Wilcoxina	Wilcoxina rehmii
e6b504547d3fcd651d2fab7bdaeef3b9	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	Mycena polygramma
03a76fb32720d265b8490b33aa1d15d8	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Humaria	
1e4911df12a62159e3c9977139b88f2e	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	
741af195f3228b1755f545b6a1774442	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Humaria	
4e803b1de8bdbae78fe5b4587c76f792	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Dictyosporiaceae	Pseudodictyosporium	Pseudodictyosporium elegans
32f0bd5c971fe4dfc546969887567f1d	Fungi	Ascomycota	Leotiomycetes	Helotiales	Vibrisseaceae	Phialocephala	Phialocephala fortinii
00611a94f31dad13d8b38c2d3c945521	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Sebacina	
f79c5331d971188107a86a2454f141b0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Melanommataceae	Camposporium	
44200d08ecb103e546c15e0df0eb8f44	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae	Glomus	
7d9360412753ed99ff4e3a488b5f983b	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
aaac2d080d03f8e7e4e28e683decc17b	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Gibberella	
edf6eefb2a6a9e6723e0bf1550122969	Fungi	Ascomycota	Pezizomycetes	Pezizales	Tuberaceae	Tuber	
f36acdcef2fe4db2854f2c21604e046e	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lycoperdaceae	Lycoperdon	
4796e3d2942dda625af3a9a2db91f40f	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Hebeloma	
