"","otu","Domain","Phylum","Class","Order","Family","Genus","Species","TaxClass","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","reject","df","Sig"
"3617","219203e20628399ed35142162bfd1944","Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis geosporum","Funneliformis geosporum",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3618","23e8d89f8e4f40a72e5e993cc28ac5f5","Fungi","Ascomycota","Eurotiomycetes","Coryneliales","Coryneliaceae",NA,NA,"Coryneliaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3619","2505ea8691cc565ee86acb2132454741","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae",NA,NA,"Tremellaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3620","26d93b14795e7be21b3a852e5c728e6c","Alveolata","Ciliophora","Litostomatea",NA,NA,NA,NA,"Litostomatea",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3621","2780e15f17d712977ae804c1f438fb1b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3622","278e5663eb4a9e6952f948c944a2c974","Fungi","Basidiomycota","Agaricomycetes","Sebacinales",NA,NA,NA,"Sebacinales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3623","28ecd0893ba5d84503e12f702cf7e489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3624","2a69c7ac23995ca0883a37b6f909f301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3625","2d01a1ea891f52aec7ed14233f954e7c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3626","2d76ae023ff7a2cc71b0ecce022a1be8","Fungi","Ascomycota","Lecanoromycetes","Lecanorales",NA,NA,NA,"Lecanorales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3627","2df39034009c9eeecdf93c3a9b738787","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,"Pleosporales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3628","2f321fac2fbdffaa29f434c78bee06d3","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae",NA,NA,"Ceratobasidiaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3629","3030911dd4580cf27bed5c8809e0d7b7","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus",NA,"Aspergillus",NA,NA,NA,NA,NA,NA,NA,NA,NA
