"","otu","Domain","Phylum","Class","Order","Family","Genus","Species","HighElevation_vs_MidElevation_padj","HighElevation_vs_MidElevation_log2FC","HighElevation_vs_Riparian_padj","HighElevation_vs_Riparian_log2FC","MidElevation_vs_Riparian_padj","MidElevation_vs_Riparian_log2FC","August_vs_June_padj","August_vs_June_log2FC","August_vs_October_padj","August_vs_October_log2FC","June_vs_October_padj","June_vs_October_log2FC"
"70","e089e21cc56347ef8b58eeb0658176fc","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius","Cortinarius infractus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","07d31db1a767c39bdb4c4269196a0667","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella pilosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","2b5e28fe61dc91469830b92e6ed3a3c0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","a9e6a457da6b9b093cb2208d1bba5952","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium nodositatum",0.820023069284726,-0.797116746805672,0.768678689813021,-0.789339935352094,0.973254494778834,-0.134267154245407,0.243141368146519,0.946565644124391,0.691658134158682,-0.520351457549605,0.0504509556792601,-1.3271948043742
"74","1e82afb18535199c2b0e7a80bd0a53ee","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe columnaris",0.36812183618781,2.28485907091192,0.694446670736344,1.04944155449105,0.608381862795297,-1.37746148211986,0.0472804252430222,-1.6412692219689,0.918442245300502,-0.174373453922078,0.0504509556792601,1.60661806534663
"75","0fef535c4009a2dc05a180fd317878db","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Cortinariaceae","Cortinarius",NA,0.360748619531303,-2.45574270765997,0.174162134536014,-3.8057814120936,0.601470719470441,-1.49208267013262,0.979970588489026,-0.0387784188687074,0.998791641247185,0.00101848195842676,0.91981139671997,0.179519198127523
"76","44ea93216e8622d85d42f9be5ae24e0a","Fungi","Ascomycota","Dothideomycetes","Pleosporales",NA,NA,NA,0.36812183618781,1.88871155636473,0.933085101605819,0.198379792329376,0.4576646730926,-1.83237572973434,0.935651545984021,-0.200407104266386,0.665983751662686,-0.801014276970812,0.743494787464905,-0.460884875402377
"77","814a585d1cfef349d72148e43b9c8174","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","Inocybe pseudodestricta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","bc1e83c5255e164b7b029045fb7ab740",NA,NA,NA,NA,NA,NA,NA,0.820023069284726,-1.13079845001398,0.703579390561236,-1.46977638466083,0.926717139792836,-0.481021900345781,0.972449957266328,-0.0582557989200624,0.3101286972632,-1.23082585263748,0.340052469404858,-1.03284775641782
"79","208325ab1ded12580a111bf7ba1ab0b9","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Mycena","Mycena aurantiomarginata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","7b7a0888d40e256e5256b516ab77239a","Fungi","Basidiomycota","Agaricomycetes","Sebacinales","Sebacinaceae","Sebacina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","01c8515cf250ec97739175d4397768ca","Fungi","Basidiomycota","Agaricomycetes","Thelephorales","Thelephoraceae","Tomentella","Tomentella coerulea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
